10000	0.09	24986546	0.085	24987202.33
15000	0.20	56247134	0.18	56269876.39
20000	0.36	99973541	0.345	100023167.9
25000	0.53	156225513	0.53	156211352.9
30000	0.76	225041535	0.77	225005469.5
35000	1.04	306262620	1.065	306327665
40000	1.33	399841046	1.315	399878968.3
45000	1.68	506104337	1.71	506228819.2
50000	2.07	624885745	2.055	624899601.5
55000	2.50	756152309	2.45	756298864.6
60000	2.98	899934564	2.915	900018582.6
65000	3.50	1056342459	3.415	1056236987
70000	4.05	1224633800	3.965	1225137241
75000	4.66	1406372735	4.565	1405769498
80000	5.29	1600704548	5.395	1599692971
85000	5.97	1806054797	5.915	1806468221
90000	6.71	2024921558	6.8	2024943539
95000	7.47	184467438698354000	7.48	1.84467E+17
100000	8.27	184467438942150000	8.425	1.84467E+17
