5	0.000000	7.399851	10	6
10	0.000000	24.435746	45	19
15	0.000000	46.189737	95	34
20	0.000000	71.133144	150	54
25	0.000001	98.430373	198	74
30	0.000001	127.694526	264	96
35	0.000001	158.539804	325	120
40	0.000001	190.817732	379	145
45	0.000001	224.409861	422	171
50	0.000002	259.022510	512	198
55	0.000001	294.457260	557	226
60	0.000002	330.918381	608	255
65	0.000002	368.229035	713	283
70	0.000003	406.249440	762	316
75	0.000002	444.969058	816	346
80	0.000003	484.329972	844	375
85	0.000003	524.520022	932	410
90	0.000003	565.061263	989	441
95	0.000004	606.181320	1049	475
100	0.000004	647.826293	1114	510
105	0.000004	690.063228	1207	542
110	0.000004	732.738501	1303	576
115	0.000004	775.707096	1367	614
120	0.000004	819.220066	1414	648
125	0.000005	863.244039	1543	681
130	0.000005	907.479494	1616	723
140	0.000005	997.386620	1679	786
150	0.000006	1088.591365	1862	867
160	0.000006	1180.987629	2044	941
170	0.000007	1274.879594	2093	1028
180	0.000007	1369.833361	2275	1097
190	0.000007	1465.893789	2391	1177
200	0.000008	1563.023741	2514	1240
210	0.000009	1661.074749	2811	1337
220	0.000009	1760.038101	2910	1436
230	0.000009	1860.109190	3111	1506
240	0.000010	1960.989679	3399	1589
250	0.000010	2062.448589	3413	1684
