1	5100	1.04	0.96	0.48	0.4615384615	1.273239545
3	1700	1.02	0.46	0.23	0.2254901961	0.4244131816
5	1020	1	0.34	0.17	0.17	0.2546479089
7	728.5714286	1.02	0.28	0.14	0.137254902	0.1818913635
9	566.6666667	1.02	0.264	0.132	0.1294117647	0.1414710605
11	463.6363636	1.02	0.256	0.128	0.1254901961	0.1157490495
13	392.3076923	1.02	0.252	0.126	0.1235294118	0.09794150344
15	340	1.02	0.204	0.102	0.1	0.08488263632
17	300	1.04	0.2	0.1	0.09615384615	0.07489644381
19	268.4210526	1.04	0.2	0.1	0.09615384615	0.06701260762
21	242.8571429	1		0	0	0.06063045451
23	221.7391304	1		0	0	0.05535824108
25	204	1		0	0	0.05092958179
