desc: I1 cache:         2048 B, 64 B, direct-mapped
desc: D1 cache:         2048 B, 64 B, direct-mapped
desc: LL cache:         8388608 B, 64 B, direct-mapped
cmd: ./slow 2304
events: Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw 
fl=/build/glibc-S9d2JN/glibc-2.27/csu/../csu/init-first.c
fn=_init
52 8 1 1 0 0 0 4 0 0
55 4 1 1 1 1 0 1 1 0
62 5 1 1 4 3 0 0 0 0
67 1 0 0 0 0 0 1 1 1
68 1 0 0 0 0 0 1 0 0
69 2 0 0 1 1 0 1 1 1
81 4 0 0 0 0 0 1 0 0
84 1 0 0 0 0 0 1 0 0
89 6 0 0 5 1 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/csu/../csu/libc-start.c
fn=(below main)
137 10 1 1 0 0 0 7 0 0
141 4 0 0 1 1 0 1 1 0
239 2 1 1 0 0 0 0 0 0
240 4 0 0 0 0 0 1 0 0
262 4 1 0 2 2 0 0 0 0
265 2 0 0 0 0 0 0 0 0
266 5 1 1 4 3 0 1 0 0
270 4 0 0 2 2 0 0 0 0
285 2 0 0 0 0 0 0 0 0
297 2 0 0 0 0 0 1 0 0
298 2 0 0 0 0 0 0 0 0
303 2 1 1 1 1 0 1 0 0
304 2 0 0 1 1 0 1 0 0
307 2 0 0 0 0 0 1 0 0
310 6 0 0 5 2 0 1 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/csu/../sysdeps/generic/dl-hash.h
fn=_init
43 1 0 0 0 0 0 0 0 0
44 1 1 1 0 0 0 0 0 0
45 13 0 0 4 1 0 0 0 0
48 12 1 1 0 0 0 0 0 0
62 16 0 0 0 0 0 0 0 0
67 1 0 0 0 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/csu/../sysdeps/unix/sysv/linux/x86_64/init-first.c
fn=_init
36 7 0 0 0 0 0 3 2 0
38 4 1 1 0 0 0 1 0 0
40 3 0 0 0 0 0 0 0 0
41 2 0 0 1 0 0 0 0 0
42 1 0 0 0 0 0 1 0 0
44 3 0 0 0 0 0 1 0 0
45 2 0 0 1 0 0 0 0 0
46 1 0 0 0 0 0 1 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/ctype/ctype-info.c
fn=__ctype_init
31 7 1 1 5 4 0 1 1 0
33 4 0 0 2 1 0 1 0 0
35 4 1 1 2 0 0 1 0 0
36 1 0 0 1 1 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/debug/../libio/libioP.h
fn=__printf_chk
805 1 0 0 1 0 0 0 0 0
806 2 0 0 1 0 0 0 0 0
807 8 0 0 4 0 0 1 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/debug/printf_chk.c
fn=__printf_chk
26 15 3 3 1 0 0 8 3 2
30 17 1 1 10 5 1 1 0 0
31 2 0 0 0 0 0 0 0 0
32 2 1 1 2 0 0 0 0 0
34 6 0 0 0 0 0 4 0 0
35 5 1 1 1 0 0 1 0 0
38 2 1 0 0 0 0 0 0 0
39 2 0 0 2 1 0 0 0 0
43 9 1 1 6 2 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../elf/dl-runtime.c
fn=_dl_fixup
66 6 2 1 0 0 0 2 0 0
68 2 0 0 2 0 0 0 0 0
69 4 0 0 4 4 0 0 0 0
72 10 0 0 4 4 0 0 0 0
73 14 2 1 4 4 0 2 0 0
75 6 0 0 4 2 0 0 0 0
80 4 0 0 0 0 0 0 0 0
84 4 0 0 2 2 0 0 0 0
88 6 0 0 2 2 0 0 0 0
92 4 0 0 4 4 0 0 0 0
93 8 2 1 2 2 0 0 0 0
95 10 0 0 2 2 0 0 0 0
101 2 0 0 0 0 0 0 0 0
102 6 0 0 2 2 0 0 0 0
112 20 4 1 4 2 0 6 1 0
116 10 0 0 6 2 0 0 0 0
126 14 0 0 4 2 0 0 0 0
134 2 0 0 2 0 0 0 0 0
142 8 2 1 2 2 0 0 0 0
146 6 0 0 2 2 0 0 0 0
150 6 0 0 4 1 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../elf/dl-sysdep.c
fn=_dl_sysdep_start
88 8 1 1 0 0 0 6 0 0
89 10 1 1 4 2 1 5 1 0
90 1 0 0 0 0 0 0 0 0
112 1 0 0 0 0 0 1 0 0
113 186 1 1 60 8 8 4 3 3
116 2 0 0 0 0 0 1 1 1
117 1 1 1 0 0 0 1 0 0
119 126 5 5 32 7 5 13 3 1
120 110 0 0 18 3 3 0 0 0
123 1 0 0 1 1 1 0 0 0
126 1 1 1 1 0 0 0 0 0
129 1 1 1 1 0 0 0 0 0
130 1 0 0 0 0 0 0 0 0
132 1 0 0 1 0 0 0 0 0
133 1 0 0 0 0 0 0 0 0
153 1 1 1 1 0 0 0 0 0
154 1 0 0 0 0 0 0 0 0
156 1 0 0 1 0 0 0 0 0
157 1 0 0 0 0 0 0 0 0
159 2 2 2 1 0 0 1 0 0
160 1 0 0 0 0 0 1 0 0
165 2 0 0 1 0 0 1 0 0
166 1 0 0 0 0 0 1 0 0
181 2 1 1 1 0 0 1 0 0
182 1 0 0 0 0 0 1 0 0
224 1 0 0 0 0 0 1 1 0
236 2 1 1 0 0 0 2 0 0
238 5 0 0 0 0 0 1 0 0
250 3 0 0 1 1 0 0 0 0
253 5 1 1 1 0 0 1 1 0
254 1 1 1 1 1 0 0 0 0
255 8 0 0 7 1 0 0 0 0
fn=_dl_sysdep_start_cleanup
260 1 1 0 1 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../elf/dl-tls.c
fn=_dl_add_to_slotinfo
887 4 1 1 0 0 0 3 0 0
893 2 0 0 1 1 0 0 0 0
896 1 0 0 1 1 0 0 0 0
901 7 1 1 2 1 0 0 0 0
942 1 0 0 0 0 0 1 1 0
943 1 0 0 0 0 0 1 0 0
944 4 0 0 4 1 0 0 0 0
fn=_dl_allocate_tls_init
437 9 1 1 0 0 0 7 0 0
438 2 0 0 0 0 0 0 0 0
442 2 0 0 1 1 0 1 0 0
444 2 0 0 0 0 0 0 0 0
445 1 1 1 0 0 0 0 0 0
448 3 0 0 2 1 0 0 0 0
460 2 0 0 1 0 0 1 0 0
465 11 0 0 2 1 0 1 0 0
471 15 1 1 0 0 0 1 0 0
474 1 0 0 1 1 0 0 0 0
475 2 0 0 0 0 0 0 0 0
481 3 1 1 2 0 0 0 0 0
482 2 0 0 0 0 0 0 0 0
484 6 0 0 2 1 0 1 0 0
485 1 1 1 0 0 0 1 0 0
487 2 0 0 0 0 0 0 0 0
488 2 0 0 1 0 0 0 0 0
491 2 0 0 0 0 0 0 0 0
492 4 0 0 2 1 0 0 0 0
494 2 0 0 0 0 0 0 0 0
495 2 0 0 1 1 0 0 0 0
504 1 0 0 0 0 0 1 0 0
507 15 2 1 6 2 0 2 0 0
517 1 1 1 0 0 0 0 0 0
521 3 0 0 2 0 0 1 1 0
524 8 0 0 7 1 0 0 0 0
fn=_dl_allocate_tls_storage
285 2 0 0 1 1 0 0 0 0
286 3 0 0 0 0 0 1 1 0
287 2 1 1 0 0 0 0 0 0
290 1 0 0 0 0 0 1 1 1
296 2 0 0 0 0 0 1 1 0
332 3 1 1 0 0 0 3 0 0
334 1 0 0 1 0 0 0 0 0
345 1 1 1 1 0 0 0 0 0
346 2 0 0 0 0 0 1 0 0
347 3 0 0 0 0 0 0 0 0
355 4 0 0 0 0 0 0 0 0
356 1 0 0 0 0 0 0 0 0
360 297 1 1 0 0 0 289 37 36
379 1 0 0 0 0 0 1 1 1
385 5 0 0 4 1 0 0 0 0
fn=_dl_count_modids
113 2 1 1 1 1 0 0 0 0
114 2 0 0 2 1 1 0 0 0
fn=_dl_determine_tlsoffset
135 5 0 0 0 0 0 5 1 0
136 2 0 0 0 0 0 0 0 0
137 1 0 0 0 0 0 0 0 0
138 1 0 0 0 0 0 0 0 0
141 3 1 1 1 0 0 0 0 0
144 2 0 0 1 0 0 0 0 0
178 1 0 0 0 0 0 0 0 0
180 13 1 1 2 0 0 0 0 0
182 4 1 1 1 0 0 0 0 0
184 3 1 1 1 0 0 0 0 0
185 2 1 1 1 1 0 0 0 0
187 2 0 0 0 0 0 0 0 0
189 5 0 0 1 0 0 0 0 0
205 8 0 0 0 0 0 0 0 0
207 2 0 0 0 0 0 0 0 0
208 2 0 0 0 0 0 0 0 0
217 1 0 0 0 0 0 1 1 0
220 1 0 0 0 0 0 1 0 0
221 1 1 1 0 0 0 1 0 0
272 1 0 0 0 0 0 1 0 0
273 6 0 0 6 2 0 0 0 0
fn=_dl_next_tls_modid
51 4 1 1 2 2 0 0 0 0
99 1 0 0 0 0 0 1 0 0
103 1 0 0 1 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../misc/sbrk.c
fn=sbrk
32 4 1 0 0 0 0 2 0 0
40 6 1 1 2 0 0 0 0 0
44 2 0 0 0 0 0 0 0 0
60 5 1 1 3 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/generic/ldsodefs.h
fn=_dl_relocate_object
102 294 0 0 98 0 0 0 0 0
fn=do_lookup_x
102 267 8 1 89 36 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/posix/dl-fileid.h
fn=_dl_map_object_from_fd
37 12 2 1 0 0 0 2 0 0
40 2 0 0 2 0 0 0 0 0
41 4 0 0 2 0 0 2 0 0
49 13 0 0 7 6 1 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/unix/sysv/linux/dl-osinfo.h
fn=dl_main
64 2 0 0 1 1 1 0 0 0
77 1 0 0 1 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/unix/sysv/linux/dl-sysdep.c
fn=_dl_discover_osversion
45 4 1 1 0 0 0 3 0 0
47 3 1 1 1 0 0 0 0 0
87 5 1 1 0 0 0 1 1 1
102 1 0 0 0 0 0 0 0 0
106 1 0 0 0 0 0 0 0 0
107 1 0 0 0 0 0 0 0 0
109 12 0 0 3 1 1 0 0 0
111 6 0 0 0 0 0 0 0 0
113 12 1 1 3 0 0 0 0 0
119 3 0 0 0 0 0 0 0 0
120 3 0 0 0 0 0 0 0 0
121 3 0 0 0 0 0 0 0 0
123 13 0 0 0 0 0 0 0 0
128 2 1 1 0 0 0 0 0 0
132 5 1 1 4 0 0 0 0 0
fn=_dl_sysdep_start
35 2 1 0 0 0 0 1 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/unix/sysv/linux/dl-vdso.c
fn=_dl_vdso_vsym
25 25 4 1 5 4 0 5 0 0
26 10 0 0 10 5 0 0 0 0
27 5 4 1 0 0 0 0 0 0
30 10 0 0 0 0 0 0 0 0
47 5 0 0 0 0 0 0 0 0
48 30 4 1 15 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/unix/sysv/linux/not-errno.h
fn=_dl_important_hwcaps
28 4 1 1 0 0 0 0 0 0
fn=_dl_load_cache_lookup
28 4 0 0 0 0 0 0 0 0
32 3 0 0 0 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/unix/sysv/linux/x86_64/brk.c
fn=brk
31 7 1 1 0 0 0 1 1 1
33 2 1 1 0 0 0 0 0 0
39 1 0 0 0 0 0 0 0 0
40 1 0 0 1 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/x86/cpu-features.c
fn=_dl_sysdep_start
37 2 0 0 0 0 0 0 0 0
38 2 0 0 0 0 0 0 0 0
39 6 1 1 0 0 0 4 0 0
198 1 0 0 0 0 0 1 1 0
199 1 1 1 0 0 0 1 0 0
210 3 0 0 0 0 0 1 1 0
213 6 0 0 0 0 0 0 0 0
217 3 0 0 0 0 0 1 0 0
219 6 1 1 0 0 0 1 0 0
224 4 0 0 2 0 0 0 0 0
226 3 1 1 2 0 0 1 0 0
227 7 0 0 1 1 1 0 0 0
273 3 0 0 2 0 0 0 0 0
295 2 0 0 1 0 0 0 0 0
305 7 2 2 0 0 0 1 0 0
318 3 0 0 0 0 0 1 0 0
327 4 0 0 0 0 0 0 0 0
334 6 0 0 1 0 0 0 0 0
381 3 1 1 1 0 0 0 0 0
382 1 0 0 1 0 0 0 0 0
385 2 0 0 0 0 0 0 0 0
386 1 0 0 1 0 0 0 0 0
392 1 0 0 0 0 0 1 0 0
393 1 0 0 0 0 0 1 0 0
394 1 0 0 0 0 0 1 0 0
397 4 1 1 0 0 0 1 0 0
399 6 0 0 1 0 0 2 0 0
401 6 1 1 1 0 0 2 0 0
403 6 0 0 1 0 0 2 0 0
414 1 0 0 0 0 0 1 1 0
415 2 0 0 1 0 0 0 0 0
419 3 1 1 1 0 0 0 0 0
438 3 1 1 0 0 0 0 0 0
440 4 1 1 1 0 0 0 0 0
441 2 0 0 1 0 0 0 0 0
443 4 0 0 1 0 0 0 0 0
444 2 1 1 0 0 0 0 0 0
447 2 0 0 0 0 0 1 1 0
fn=get_common_indeces.constprop.1
48 2 1 1 0 0 0 1 0 0
52 4 0 0 0 0 0 0 0 0
55 5 0 0 0 0 0 3 0 0
58 1 0 0 0 0 0 1 0 0
59 4 1 1 0 0 0 1 0 0
60 4 0 0 0 0 0 1 0 0
61 4 0 0 0 0 0 1 0 0
62 3 0 0 0 0 0 1 0 0
63 2 1 1 1 0 0 0 0 0
70 2 0 0 1 0 0 0 0 0
71 7 0 0 0 0 0 4 0 0
78 3 1 1 1 0 0 0 0 0
82 2 0 0 0 0 0 0 0 0
84 4 0 0 0 0 0 0 0 0
88 2 1 1 0 0 0 0 0 0
91 4 0 0 1 1 1 1 0 0
94 2 0 0 1 0 0 0 0 0
96 3 0 0 0 0 0 1 0 0
98 2 0 0 0 0 0 0 0 0
100 3 1 0 0 0 0 1 0 0
105 3 1 1 0 0 0 0 0 0
124 2 0 0 1 0 0 0 0 0
128 4 0 0 0 0 0 0 0 0
129 2 0 0 0 0 0 0 0 0
131 1 0 0 0 0 0 0 0 0
132 1 0 0 0 0 0 0 0 0
135 2 1 1 0 0 0 1 0 0
137 1 0 0 0 0 0 1 0 0
139 3 0 0 0 0 0 0 0 0
142 2 0 0 0 0 0 0 0 0
192 3 1 1 2 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/x86/dl-hwcap.h
fn=_dl_important_hwcaps
57 6 0 0 0 0 0 2 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/x86/dl-procinfo.h
fn=_dl_load_cache_lookup
39 4 0 0 0 0 0 1 0 0
42 8 1 1 0 0 0 2 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/../sysdeps/x86_64/dl-machine.h
fn=_dl_fixup
242 2 0 0 0 0 0 2 2 0
fn=_dl_relocate_object
76 16 4 1 4 0 0 0 0 0
82 4 2 1 4 2 0 0 0 0
86 6 0 0 2 2 1 0 0 0
92 2 2 1 0 0 0 2 0 0
100 6 0 0 2 0 0 0 0 0
120 4 0 0 2 2 0 0 0 0
122 4 0 0 0 0 0 2 2 0
124 8 0 0 2 0 0 0 0 0
131 6 2 1 2 2 0 0 0 0
276 230 0 0 0 0 0 0 0 0
297 230 0 0 0 0 0 0 0 0
301 230 0 0 0 0 0 0 0 0
308 4722 323 12 893 233 79 673 200 0
310 508 90 1 214 20 0 0 0 0
313 428 88 3 107 9 0 0 0 0
316 5 0 0 2 1 0 0 0 0
319 2 0 0 0 0 0 0 0 0
320 3 1 1 1 1 0 0 0 0
321 2 0 0 0 0 0 0 0 0
325 1 1 1 0 0 0 1 0 0
332 4 1 0 1 0 0 1 1 0
335 690 0 0 115 98 3 0 0 0
430 51 1 1 17 0 0 0 0 0
434 68 1 1 17 4 0 0 0 0
439 51 0 0 34 10 2 0 0 0
448 51 0 0 17 0 0 17 8 8
458 392 4 2 196 103 12 98 67 7
481 12 0 0 0 0 0 4 0 0
491 6 0 0 0 0 0 3 0 0
535 3732 0 0 1244 330 312 0 0 0
540 2488 3 1 0 0 0 0 0 0
541 3732 0 0 1244 156 156 1244 263 233
551 94 1 0 47 2 0 0 0 0
555 16 0 0 0 0 0 0 0 0
557 24 0 0 8 5 0 0 0 0
