edgeDetector	0.080751	0.167302	0.377613	1.720549	2.237998	6.919111	
optLoops	0.071180	0.157928	0.355692	1.507759	1.594754	5.879789	
par0	0.023919	0.030691	0.069354	0.278116	0.324476	1.216842	
par1	0.075072	0.154081	0.305903	1.239424	1.412401	5.058766	
par2	0.411615	0.373615	0.599165	1.202008	1.186150	3.291850	
edgeDetector	0.074260	0.169582	0.390175	1.819252	2.258416	7.030146	
edgeDetector	0.074886	0.169238	0.383320	1.745358	2.454731	6.853813	
optLoops	0.071769	0.160248	0.361195	1.464683	1.552751	5.808677	
par0	0.024026	0.030894	0.069390	0.279029	0.297562	1.107827	
par1	0.073843	0.118522	0.210238	0.824691	0.875591	2.851601	
par2	0.442270	0.500315	0.674575	1.442971	1.447637	3.496424	
edgeDetector	0.074721	0.169668	0.390614	1.777966	2.501430	6.753070	
optLoops	0.071755	0.160667	0.359556	1.447935	1.550826	5.785100	
par0	0.014111	0.030730	0.069254	0.278951	0.297180	1.107732	
par1	0.067059	0.145172	0.248587	0.879535	0.922278	3.021471	
par2	0.421763	0.525211	0.732950	1.433593	1.469777	3.672826	
edgeDetector	0.074301	0.166550	0.380388	1.611725	2.108031	6.686000	
optLoops	0.071238	0.159090	0.359324	1.450334	1.554177	5.793627	
par0	0.023981	0.030847	0.069326	0.279263	0.297170	1.113647	
par1	0.055330	0.143302	0.191281	0.722995	0.800673	2.731768	
par2	0.401806	0.469013	0.668722	1.441704	1.387717	3.494985	
edgeDetector	0.074677	0.168618	0.380102	1.754352	2.455922	6.687030	
optLoops	0.071788	0.159101	0.360287	1.457562	1.551851	5.793027	
par0	0.014838	0.030763	0.162600	0.370883	0.363202	1.115671	
par1	0.041161	0.083080	0.171331	0.649649	0.633231	2.517246	
par2	0.373293	0.422840	0.664138	1.300918	1.354813	3.417297	
edgeDetector	0.074640	0.166477	0.384017	1.746734	2.390689	6.875866	
optLoops	0.071811	0.160152	0.359119	1.453482	1.553994	5.793932	
par0	0.014125	0.030754	0.069268	0.283813	0.296612	1.111331	
par1	0.059576	0.133519	0.247814	1.013345	1.049194	3.809118	
par2	0.398061	0.417373	0.642323	1.273304	1.347569	3.288700	
edgeDetector	0.080202	0.180432	0.407203	1.844062	2.304572	7.160472	
optLoops	0.075883	0.168990	0.379582	1.533822	1.639481	6.170687	
par0	0.023909	0.030859	0.069505	0.304211	0.298278	1.136968	
