tipo nota09 nota10
concertado 9,34 8,52
publico 9,24 5,96
concertado 9,17 5,46
privado 9,14 7,925
publico 9,09 6,4
publico 9,06 7,94
concertado 8,88 6,49
publico 8,88 5,05
publico 8,84 7,37
privado 8,83 6,865
publico 8,76 7,99
privado 8,75 8,26
publico 8,73 7,25
privado 8,68 6,78
concertado 8,67 7,03
privado 8,65 7,15
privado 8,62 5,52
publico 8,62 6
concertado 8,55 5,41
concertado 8,52 6,87
publico 8,5 6,62
publico 8,5 6,73
publico 8,47 8,03
privado 8,43 7,41
privado 8,42 7
concertado 8,41 7,66
privado 8,4 6,54
concertado 8,38 6,65
privado 8,37 7,7
privado 8,35 7,44
concertado 8,33 0
concertado 8,32 6,35
publico 8,32 5,09
concertado 8,32 5,0875
publico 8,31 4,815
publico 8,31 6,805
privado 8,31 6,81
privado 8,28 7,59
privado 8,27 5,82
concertado 8,26 7,23
concertado 8,25 6,91
privado 8,25 6,75
publico 8,25 5,8475
privado 8,25 6,79
privado 8,25 7,435
privado 8,24 6,82
concertado 8,24 8,52
privado 8,23 7,23
privado 8,23 5,97
privado 8,22 6,24
publico 8,21 4,92
concertado 8,19 5,59
concertado 8,18 5,19
publico 8,18 7,275
concertado 8,18 6,4225
concertado 8,17 6,11
publico 8,17 6,99
concertado 8,17 5,44
concertado 8,16 7,435
publico 8,15 6,28
publico 8,15 5,32
concertado 8,15 5,89
publico 8,14 6,55
publico 8,14 6,1575
privado 8,11 6,03
concertado 8,1 6,64
publico 8,09 5,44
concertado 8,09 7,25
concertado 8,09 5,89
privado 8,09 7,37
concertado 8,09 5,65
concertado 8,09 3,92
privado 8,09 5,8
concertado 8,08 6,05
concertado 8,08 4,73
privado 8,08 7,4425
concertado 8,08 5,66
concertado 8,07 5,82
publico 8,07 6,13
concertado 8,06 6,45
privado 8,05 5,11
publico 8,04 5,79
concertado 8,02 7,15
concertado 8,01 6,36
concertado 8 6,51
publico 8 6,48
concertado 7,99 6,0975
publico 7,98 6,62
publico 7,98 5,86
concertado 7,97 6,95
concertado 7,96 6,97
concertado 7,95 6,285
privado 7,95 6,29
privado 7,95 6,8
publico 7,94 5,45
publico 7,94 5,74
publico 7,94 6,64
concertado 7,93 6,86
publico 7,93 6,83
concertado 7,93 4,87
publico 7,93 5,94
publico 7,93 6,1525
concertado 7,93 6,08
concertado 7,93 6,19
concertado 7,92 7,29
privado 7,92 6,41
privado 7,92 5,105
concertado 7,9 6,53
publico 7,9 6,58
publico 7,9 6,94
concertado 7,9 6,58
concertado 7,9 6,55
publico 7,89 7,01
concertado 7,88 6,07
publico 7,88 6,16
publico 7,88 7,05
publico 7,87 5,55
privado 7,86 6,5225
concertado 7,85 6,01
concertado 7,85 5,41
concertado 7,85 7,02
concertado 7,85 5,56
concertado 7,85 6,75
concertado 7,85 5,83
concertado 7,84 6,68
privado 7,84 6,71
privado 7,83 6,65
concertado 7,82 6,55
publico 7,82 6,34
publico 7,82 6,57
concertado 7,82 7,11
publico 7,82 6,22
publico 7,81 4,9625
concertado 7,8 6,7
publico 7,79 6,405
concertado 7,79 5,79
privado 7,78 7,18
privado 7,78 6,47
concertado 7,77 7,01
publico 7,77 5,5
concertado 7,77 5,82
concertado 7,76 5,02
concertado 7,75 5,2375
publico 7,75 6,1175
concertado 7,75 6,4
privado 7,75 7,21
concertado 7,75 5,52
